age_cat,race,offense_violent,offense_property,offense_drug,ch_crimhist,ch_probation_num,ch_incarceration_num,co_statustme,drug_any,co_currentoffense,education,citizenship,gender,drug_abuse_dsmiv,drug_dependence,typeoffense,ses_any_children,ch_numcar,cs_sentencemth,life_sentence
5,3,1,0,0,4,1,1,4,1,5,12,1,1,0,0,5,2,1,120,0
3,2,1,0,0,5,3,1,1,1,1,9,1,1,1,1,1,2,1,10000,1
3,3,0,0,1,2,0,0,4,2,17,19,2,1,0,0,17,2,0,36,0
5,2,1,0,0,1,0,0,4,1,1,14,1,1,0,0,1,2,0,10000,1
4,1,1,0,0,1,0,0,4,1,4,12,1,1,1,1,4,2,0,180,0
4,2,1,0,0,5,2,1,4,2,1,14,1,1,0,0,1,2,1,10000,1
1,3,0,0,1,7,1,0,4,1,17,12,1,1,1,0,17,1,0,48,0
3,1,1,0,0,5,2,0,4,1,4,11,1,1,1,0,4,2,0,58,0
3,3,0,0,1,6,3,3,4,1,17,10,1,1,1,1,17,1,5,36,0
2,3,1,0,0,4,1,0,4,1,7,10,1,1,0,0,7,2,0,36,0
3,1,1,0,0,4,1,4,2,1,7,12,1,1,1,0,7,2,8,120,0
2,2,0,0,1,6,2,3,2,1,16,10,1,1,1,1,16,2,5,72,0
5,1,1,0,0,4,0,2,4,2,1,10,1,1,0,0,1,1,2,10000,1
3,1,0,1,0,10,4,5,2,1,10,10,1,1,1,1,10,2,12,42,0
3,1,1,0,0,4,2,3,1,1,8,10,1,1,1,0,8,2,4,1,0
2,3,1,0,0,4,0,3,4,1,1,9,1,1,0,0,1,1,5,10000,1
4,3,0,0,1,6,1,0,4,2,17,8,1,1,0,0,17,1,0,144,0
4,2,1,0,0,4,2,3,4,1,4,12,1,1,1,1,4,1,4,84,0
4,1,1,0,0,4,1,0,4,1,4,12,1,1,0,0,4,1,0,156,0
2,1,1,0,0,5,1,1,3,1,8,10,1,1,0,0,8,2,1,240,0
1,1,0,1,0,3,0,0,4,1,12,10,1,1,0,0,12,2,0,48,0
3,1,0,0,1,10,1,3,4,1,17,8,1,1,1,1,17,1,3,360,0
1,1,1,0,0,1,1,0,4,1,6,8,1,1,1,1,6,1,0,120,0
2,1,0,0,0,6,1,0,4,1,23,12,1,1,1,0,21,2,0,60,0
3,1,1,0,0,1,0,0,4,2,5,12,1,1,0,0,5,1,0,480,0
4,3,0,0,0,10,1,1,1,1,26,15,1,1,1,1,21,2,1,24,0
4,1,1,0,0,1,0,0,4,2,1,9,1,1,0,0,1,1,0,10000,1
2,1,1,0,0,4,3,4,2,1,5,11,1,1,1,1,5,1,6,96,0
1,1,1,0,0,4,1,0,4,1,5,10,1,1,0,0,5,1,0,60,0
2,1,0,0,0,10,0,1,1,1,21,12,1,1,0,0,21,2,1,48,0
3,1,1,0,0,1,0,0,4,1,5,14,1,1,0,0,5,2,0,180,0
5,1,1,0,0,4,0,2,1,2,5,8,1,1,0,0,5,2,2,539,0
2,1,0,0,1,6,3,2,2,1,16,18,1,1,1,1,16,2,2,48,0
2,1,1,0,0,1,0,0,4,2,5,12,1,1,0,0,5,1,0,384,0
5,6,1,0,0,5,2,0,4,1,1,9,1,1,0,0,1,2,0,10000,1
1,1,1,0,0,1,0,0,4,1,7,12,1,1,1,1,7,1,0,102,0
4,1,1,0,0,5,0,1,4,1,1,11,1,1,1,1,1,2,1,600,0
1,1,0,0,1,10,2,1,1,1,17,8,1,1,1,1,17,1,1,84,0
3,2,1,0,0,4,2,2,1,1,1,8,1,1,0,0,1,1,2,10000,1
5,1,1,0,0,1,0,0,4,1,1,16,1,1,0,0,1,2,0,10000,1
4,1,0,0,1,7,1,0,4,1,18,12,1,1,1,1,18,1,0,60,0
6,1,1,0,0,4,1,1,4,2,5,14,1,1,0,0,5,1,1,240,0
1,5,0,1,0,10,1,0,2,1,9,11,2,1,0,0,9,1,0,12,0
3,1,0,1,0,10,0,1,4,1,13,12,1,1,0,0,13,1,1,120,0
2,1,0,0,0,10,2,3,1,1,19,10,1,1,1,1,19,2,4,84,0
3,5,1,0,0,5,1,1,4,1,1,11,1,1,1,0,1,2,1,10000,1
5,3,1,0,0,1,0,0,4,2,5,3,1,1,0,0,5,2,0,360,0
2,1,1,0,0,5,3,2,4,1,5,10,1,1,1,0,5,2,2,120,0
1,3,1,0,0,1,0,0,4,1,6,11,1,1,1,1,6,1,0,84,0
5,1,1,0,0,1,0,0,4,1,5,13,1,1,0,0,5,2,0,600,0
3,1,1,0,0,4,1,1,4,1,5,10,1,1,0,0,5,1,1,180,0
3,1,1,0,0,5,0,1,4,1,1,10,1,1,0,0,1,2,1,12,0
3,1,1,0,0,4,2,3,4,1,5,8,1,1,0,0,5,2,5,120,0
3,3,1,0,0,1,0,0,4,2,1,3,2,1,0,0,1,1,0,720,0
4,1,1,0,0,5,0,3,1,1,1,12,1,1,0,0,1,2,3,10000,1
1,4,1,0,0,1,1,0,4,1,7,10,1,1,0,0,7,2,0,10000,1
1,1,0,1,0,6,2,4,2,2,15,8,1,1,0,0,15,2,7,36,0
3,3,0,1,0,10,2,2,4,1,9,9,1,1,0,0,9,1,2,48,0
2,2,1,0,0,4,2,1,4,1,6,11,1,1,0,0,6,1,1,120,0
2,1,0,0,1,10,4,4,1,1,16,11,1,1,1,1,16,2,8,72,0
5,1,0,0,0,3,0,0,4,2,24,12,1,1,0,0,21,1,0,6,0
6,1,0,0,0,8,0,1,4,2,23,10,1,1,0,0,21,1,1,360,0
